0.000000, BDCR ok: 00008200
0.000000, flash: latency=0
0.000000, rcc: Clocks { hclk1: MaybeHertz(16000000), hclk2: MaybeHertz(16000000), hse: MaybeHertz(0), lse: MaybeHertz(0), lsi: MaybeHertz(0), pclk1: MaybeHertz(16000000), pclk1_tim: MaybeHertz(16000000), pclk2: MaybeHertz(16000000), pclk2_tim: MaybeHertz(16000000), pll1_q: MaybeHertz(0), plli2s1_p: MaybeHertz(0), plli2s1_q: MaybeHertz(0), plli2s1_r: MaybeHertz(0), pllsai1_q: MaybeHertz(0), rtc: MaybeHertz(32000), sys: MaybeHertz(16000000) }
0.000122, Hello World!
0.001007, VrefInt: 1499
0.001770, VCCA: 3305 mV
3.048461, 357, 288
3.060089, 367, 296
3.071716, 361, 291
3.083343, 370, 298
3.106597, 373, 301
3.118225, 373, 301
3.129852, 378, 305
3.141479, 372, 300
3.153106, 365, 294
3.164733, 364, 293
3.176361, 385, 310
3.187988, 344, 277
3.199615, 363, 293
3.211242, 354, 285
3.222869, 357, 288
3.234497, 362, 292
3.246124, 376, 303
3.257751, 381, 307
3.269378, 373, 301
3.281005, 372, 300
3.292633, 363, 293
3.304260, 379, 305
3.315887, 381, 307
3.327514, 365, 294
3.339141, 386, 311
3.350769, 359, 289
3.362396, 377, 304
3.374023, 377, 304
3.385650, 359, 289
3.397277, 374, 301
3.408905, 363, 293
3.420532, 369, 297
3.432159, 359, 289
3.443786, 384, 309
3.455413, 349, 281
3.467041, 371, 299
3.478668, 362, 292
3.490295, 370, 298
3.501922, 367, 296
3.513549, 360, 290
3.525177, 373, 301
3.536804, 381, 307
3.548431, 377, 304
3.560058, 383, 309
3.571685, 366, 295
3.583312, 385, 310
3.594940, 352, 284
3.606567, 354, 285
3.618194, 371, 299
3.629821, 372, 300
3.641448, 383, 309
3.653076, 362, 292
3.664703, 370, 298
3.676330, 357, 288
3.687957, 360, 290
3.699584, 380, 306
3.711212, 360, 290
3.722839, 381, 307
3.734466, 362, 292
3.757720, 380, 306
3.769348, 363, 293
3.780975, 387, 312
3.792602, 362, 292
3.804229, 367, 296
3.815856, 359, 289
3.827484, 364, 293
3.839111, 365, 294
3.850738, 359, 289
3.862365, 383, 309
3.873992, 371, 299
3.885620, 376, 303
3.897247, 379, 305
3.908874, 367, 296
3.920501, 386, 311
3.932128, 358, 288
3.943756, 378, 305
3.955383, 357, 288
3.967010, 378, 305
3.978637, 379, 305
3.990264, 364, 293
4.001892, 366, 295
4.013519, 376, 303
4.025146, 383, 309
4.036773, 364, 293
4.048400, 372, 300
4.060028, 380, 306
4.071655, 378, 305
4.083282, 387, 312
4.094909, 347, 280
4.106536, 356, 287
4.118164, 357, 288
4.129791, 372, 300
4.141418, 377, 304
4.153045, 371, 299
4.164672, 383, 309
4.176300, 380, 306
4.187927, 387, 312
4.199554, 360, 290
4.211181, 354, 285
4.222808, 361, 291
4.234436, 356, 287
4.246063, 378, 305
4.257690, 374, 301
4.269317, 385, 310
4.280944, 363, 293
4.292572, 350, 282
4.304199, 375, 302
4.315826, 356, 287
4.327453, 381, 307
4.339080, 379, 305
4.350708, 366, 295
4.362335, 386, 311
4.373962, 361, 291
4.385589, 361, 291
4.408843, 375, 302
4.420471, 376, 303
4.432098, 385, 310
4.443725, 353, 284
4.455352, 351, 283
4.466979, 378, 305
4.478607, 374, 301
4.490234, 378, 305
4.501861, 380, 306
4.513488, 377, 304
4.525115, 385, 310
4.536743, 346, 279
4.548370, 374, 301
4.559997, 360, 290
4.571624, 373, 301
4.583251, 380, 306
4.594879, 361, 291
4.606506, 371, 299
4.618133, 362, 292
4.629760, 370, 298
4.641326, 377, 304
4.652954, 378, 305
4.664581, 369, 297
4.676208, 359, 289
4.687835, 385, 310
4.699462, 344, 277
4.711090, 356, 287
4.734344, 372, 300
4.745971, 370, 298
4.757598, 359, 289
4.769226, 385, 310
4.780853, 361, 291
4.792480, 370, 298
4.804107, 375, 302
4.815734, 359, 289
4.827362, 392, 316
4.838989, 363, 293
4.850616, 352, 284
4.862243, 351, 283
4.873870, 355, 286
4.885498, 360, 290
4.897125, 370, 298
4.908752, 364, 293
4.920379, 355, 286
4.932006, 360, 290
4.943634, 360, 290
4.955261, 370, 298
4.966888, 367, 296
4.978515, 357, 288
4.990142, 368, 297
5.001770, 373, 301
5.013397, 371, 299
5.025024, 381, 307
5.036590, 381, 307
5.048217, 375, 302
5.059844, 379, 305
5.071472, 387, 312
5.083099, 364, 293
5.094726, 369, 297
5.106353, 380, 306
5.117980, 374, 301
5.129608, 386, 311
5.141235, 345, 278
5.152862, 356, 287
5.164489, 370, 298
5.176116, 376, 303
5.187744, 365, 294
5.199371, 357, 288
5.210998, 365, 294
5.222625, 376, 303
5.234252, 380, 306
5.245880, 367, 296
5.257507, 362, 292
5.269134, 384, 309
5.280761, 358, 288
5.292388, 361, 291
5.304016, 363, 293
5.315643, 373, 301
5.327270, 378, 305
5.338897, 377, 304
5.350524, 368, 297
5.362152, 359, 289
5.373779, 380, 306
5.385406, 369, 297
5.397033, 376, 303
5.408660, 383, 309
5.420288, 363, 293
5.431854, 385, 310
5.443481, 358, 288
5.455108, 360, 290
5.466735, 374, 301
5.478363, 365, 294
5.489990, 375, 302
5.501617, 374, 301
5.513244, 372, 300
5.524871, 377, 304
