0.100494, VREFINT_LOW 1669
0.100921, ADC_DR 0
0.101623, ADC reference value is 65520
3.342712, 17392, 92.690544
3.356872, 17392, 86.5615
3.371032, 17392, 81.2005
3.385192, 17392, 76.471695
3.399353, 9712, 72.269485
3.413513, 10224, 68.51055
3.427673, 9712, 65.12826
3.441833, 65520, 1334.3334
3.455993, 65520, 654.0612
3.470153, 32752, 433.43243
3.484313, 17392, 324.23233
3.498474, 17392, 259.0645
3.512634, 17392, 215.7651
3.526794, 8176, 184.90805
3.540954, 4080, 161.80402
3.555114, 4080, 143.85715
3.569274, 8176, 129.51405
3.583435, 8176, 117.78832
3.597595, 8176, 108.023415
3.611755, 8176, 99.765434
3.625915, 8176, 92.690544
3.640075, 8176, 86.5615
3.654235, 9712, 81.2005
3.668395, 8176, 76.471695
3.682556, 8176, 72.269485
3.696716, 8176, 68.51055
3.710876, 8176, 65.12826
3.725036, 65520, 1334.3334
3.739196, 32752, 654.0612
3.753356, 32752, 433.43243
3.767517, 32752, 324.23233
3.781677, 17392, 259.0645
3.795837, 17392, 215.7651
3.809997, 17392, 184.90805
3.824157, 17392, 161.80402
3.838317, 17392, 143.85715
3.852478, 17392, 129.51405
3.866638, 17392, 117.78832
3.880767, 17392, 108.023415
3.894927, 16368, 99.765434
3.909088, 12784, 92.690544
3.937408, 9712, 81.2005
3.951568, 9712, 76.471695
3.965728, 9712, 72.269485
3.979888, 9712, 68.51055
3.994049, 9712, 65.12826
4.008209, 65520, 1334.3334
4.022369, 32752, 654.0612
4.036529, 32752, 433.43243
4.050689, 32752, 324.23233
4.064849, 22512, 259.0645
4.079010, 17392, 215.7651
4.093170, 17392, 184.90805
4.107330, 17392, 161.80402
4.121490, 17392, 143.85715
4.135650, 17392, 129.51405
4.149810, 17392, 117.78832
4.163970, 17392, 108.023415
4.178131, 17392, 99.765434
4.192291, 13808, 92.690544
4.206451, 11248, 86.5615
4.220611, 9712, 81.2005
4.234771, 9712, 76.471695
4.248931, 9712, 72.269485
4.263092, 9712, 68.51055
4.277252, 9712, 65.12826
4.291412, 65520, 1334.3334
4.305572, 32752, 654.0612
4.319732, 32752, 433.43243
4.333892, 32752, 324.23233
4.348052, 32752, 259.0645
4.362213, 17392, 215.7651
4.376373, 17392, 184.90805
4.390533, 17392, 161.80402
4.404693, 17392, 143.85715
4.418853, 17392, 129.51405
4.433013, 17392, 117.78832
4.447174, 17392, 108.023415
4.461334, 17392, 99.765434
4.475494, 12272, 92.690544
4.489654, 10224, 86.5615
4.503814, 9712, 81.2005
4.517974, 9712, 76.471695
4.532135, 9712, 72.269485
4.546295, 9712, 68.51055
4.560455, 9712, 65.12826
4.574615, 65520, 1334.3334
4.588775, 34800, 654.0612
4.602935, 32752, 433.43243
4.617095, 32752, 324.23233
4.631256, 32752, 259.0645
4.645416, 17392, 215.7651
4.659576, 17392, 184.90805
4.673736, 17392, 161.80402
4.687896, 17392, 143.85715
4.702056, 17392, 129.51405
4.716217, 17392, 117.78832
4.730377, 17392, 108.023415
4.744537, 17392, 99.765434
4.758697, 12784, 92.690544
4.772857, 10224, 86.5615
4.801177, 9712, 76.471695
4.815338, 9712, 72.269485
4.829498, 9712, 68.51055
4.843658, 9712, 65.12826
4.857818, 65520, 1334.3334
4.871978, 34800, 654.0612
4.886138, 32752, 433.43243
4.900299, 32752, 324.23233
4.914459, 32752, 259.0645
4.928619, 17392, 215.7651
4.942779, 17392, 184.90805
4.956939, 17392, 161.80402
4.971099, 17392, 143.85715
4.985260, 17392, 129.51405
4.999420, 17392, 117.78832
5.013641, 17392, 108.023415
5.027801, 17392, 99.765434
5.041961, 17392, 92.690544
5.056121, 10736, 86.5615
5.070281, 9712, 81.2005
5.084442, 9712, 76.471695
5.098602, 9712, 72.269485
5.112762, 9712, 68.51055
5.126922, 9712, 65.12826
5.141082, 65520, 1334.3334
5.155242, 34800, 654.0612
5.169403, 32752, 433.43243
5.183563, 32752, 324.23233
5.197723, 32752, 259.0645
5.211883, 17392, 215.7651
5.226043, 17392, 184.90805
5.240203, 17392, 161.80402
5.254364, 17392, 143.85715
5.268524, 17392, 129.51405
5.282684, 17392, 117.78832
5.296844, 17392, 108.023415
5.311004, 17392, 99.765434
5.325164, 13296, 92.690544
5.339324, 9712, 86.5615
5.353485, 11248, 81.2005
5.367645, 9712, 76.471695
5.381805, 9712, 72.269485
5.395965, 9712, 68.51055
5.410125, 9712, 65.12826
5.424285, 65520, 1334.3334
5.438446, 34800, 654.0612
5.452606, 32752, 433.43243
5.466766, 32752, 324.23233
5.480926, 32752, 259.0645
5.495086, 17392, 215.7651
5.509246, 17392, 184.90805
5.523406, 17392, 161.80402
5.537567, 17392, 143.85715
5.551727, 17392, 129.51405
5.565887, 17392, 117.78832
5.580047, 17392, 108.023415
5.594207, 17392, 99.765434
5.608367, 17392, 92.690544
5.622528, 17392, 86.5615
5.636657, 9712, 81.2005
5.650817, 9712, 76.471695
5.664978, 9712, 72.269485
5.679138, 9712, 68.51055
5.693298, 9712, 65.12826
5.707458, 65520, 1334.3334
5.721618, 32752, 654.0612
5.735778, 32752, 433.43243
5.749938, 32752, 324.23233
5.764099, 32752, 259.0645
5.778259, 17392, 215.7651
5.792419, 17392, 184.90805
5.806579, 17392, 161.80402
5.820739, 17392, 143.85715
5.834899, 17392, 129.51405
5.849060, 17392, 117.78832
5.863220, 17392, 108.023415
5.877380, 17392, 99.765434
5.891540, 17392, 92.690544
5.905700, 17392, 86.5615
5.919860, 10224, 81.2005
5.934020, 9712, 76.471695
5.948181, 9712, 72.269485
5.962341, 9712, 68.51055
5.976501, 9712, 65.12826
5.990661, 65520, 1334.3334
6.004821, 34800, 654.0612
6.018981, 32752, 433.43243
6.033142, 32752, 324.23233
6.047302, 32752, 259.0645
6.061462, 32752, 215.7651
6.075622, 17392, 184.90805
6.089782, 17392, 161.80402
6.103942, 17392, 143.85715
6.118103, 17392, 129.51405
6.132263, 17392, 117.78832
6.146423, 17392, 108.023415
6.160583, 17392, 99.765434
6.174713, 9712, 92.690544
6.188873, 9712, 86.5615
6.203033, 9712, 81.2005
6.217193, 9712, 76.471695
6.231353, 8688, 72.269485
6.245513, 9712, 68.51055
6.259674, 8688, 65.12826
6.273834, 65520, 1334.3334
6.287994, 34800, 654.0612
6.302154, 32752, 433.43243
6.316314, 32752, 324.23233
6.330474, 31728, 259.0645
6.344635, 17392, 215.7651
6.358795, 17392, 184.90805
6.372955, 17392, 161.80402
6.387115, 17392, 143.85715
6.401275, 17392, 129.51405
6.415435, 17392, 117.78832
6.429595, 17392, 108.023415
6.443756, 17392, 99.765434
6.457916, 9712, 92.690544
6.472076, 9712, 86.5615
6.486236, 9712, 81.2005
6.500396, 9712, 76.471695
6.514556, 10224, 72.269485
6.528717, 9712, 68.51055
6.542877, 9712, 65.12826
6.557037, 32752, 1334.3334
6.571197, 17392, 654.0612
6.585357, 17392, 433.43243
6.599517, 17392, 324.23233
6.613677, 17392, 259.0645
6.627838, 17392, 215.7651
6.641998, 17392, 184.90805
6.656158, 17392, 161.80402
6.670318, 17392, 143.85715
6.684478, 17392, 129.51405
6.698638, 17392, 117.78832
6.712799, 17392, 108.023415
6.726959, 17392, 99.765434
6.741119, 16880, 92.690544
6.755279, 9712, 86.5615
6.769439, 9712, 81.2005
6.783599, 9712, 76.471695
6.797760, 9712, 72.269485
6.811920, 8688, 68.51055
6.840240, 65520, 1334.3334
6.854400, 32752, 654.0612
6.868530, 32752, 433.43243
6.882690, 32752, 324.23233
6.896850, 17392, 259.0645
6.911010, 17392, 215.7651
6.925170, 17392, 184.90805
6.953491, 17392, 143.85715
6.967651, 17392, 129.51405
6.981811, 17392, 117.78832
6.995971, 17392, 108.023415
7.010131, 16880, 99.765434
7.024291, 17392, 92.690544
