0.000000, BDCR ok: 00008200
0.000000, rcc: Clocks { hclk1: MaybeHertz(16000000), hse: MaybeHertz(0), hsi: MaybeHertz(16000000), lse: MaybeHertz(0), lsi: MaybeHertz(0), pclk1: MaybeHertz(16000000), pclk1_tim: MaybeHertz(16000000), pll1_p: MaybeHertz(0), pll1_q: MaybeHertz(0), rtc: MaybeHertz(32000), sys: MaybeHertz(16000000) }
0.000152, Hello World!
3.755187, 159, 
3.767578, 255, 
3.779968, 127, 
3.792358, 255, 
3.804748, 127, 
3.817138, 63, 
3.829528, 63, 
3.841918, 127, 
3.854309, 127, 
3.866699, 127, 
3.878997, 15, 
3.891387, 255, 
3.903778, 255, 
3.916168, 63, 
3.928558, 255, 
3.940948, 255, 
3.953338, 127, 
3.965728, 255, 
3.978118, 63, 
3.990509, 127, 
4.002899, 255, 
4.015289, 127, 
4.027679, 255, 
4.040069, 255, 
4.052459, 59, 
4.064849, 255, 
4.077239, 255, 
4.089630, 255, 
4.102020, 246, 
4.114410, 127, 
4.126800, 127, 
4.139190, 255, 
4.151580, 107, 
4.163970, 127, 
4.176361, 255, 
4.188751, 255, 
4.201141, 127, 
4.213531, 63, 
4.225921, 255, 
4.238311, 201, 
4.250701, 14, 
4.263092, 255, 
4.275482, 255, 
4.287872, 127, 
4.300262, 127, 
4.312652, 127, 
4.325042, 2, 
4.337432, 255, 
4.349822, 127, 
4.362213, 63, 
4.374603, 255, 
4.386993, 127, 
4.399383, 255, 
4.411773, 255, 
4.436553, 255, 
4.448944, 255, 
4.461334, 255, 
4.473724, 127, 
4.486114, 127, 
4.498504, 127, 
4.510894, 255, 
4.523284, 255, 
4.535675, 255, 
4.548065, 0, 
4.560363, 255, 
4.572753, 127, 
4.585144, 255, 
4.597534, 0, 
4.609832, 255, 
4.622222, 255, 
4.634613, 127, 
4.647003, 61, 
4.659393, 127, 
4.671783, 255, 
4.684173, 63, 
4.696563, 255, 
4.708953, 255, 
4.721343, 255, 
4.733734, 255, 
4.746124, 127, 
4.758514, 127, 
4.770904, 127, 
4.783294, 255, 
4.795684, 127, 
4.808074, 255, 
4.820465, 127, 
4.832855, 63, 
4.845245, 127, 
4.857635, 31, 
4.870025, 127, 
4.882415, 127, 
4.894805, 127, 
4.907196, 119, 
4.919586, 127, 
4.931976, 127, 
4.944366, 255, 
4.956756, 127, 
4.969146, 63, 
4.981536, 63, 
4.993927, 63, 
5.006317, 255, 
5.018707, 255, 
5.031097, 127, 
5.043487, 127, 
5.055877, 127, 
5.068267, 247, 
5.080657, 255, 
5.093048, 255, 
5.105438, 255, 
5.117828, 254, 
5.130218, 255, 
5.142608, 127, 
5.154998, 255, 
5.167388, 127, 
5.179779, 112, 
5.192169, 255, 
5.204559, 127, 
5.216949, 255, 
5.229339, 255, 
5.241729, 0, 
5.254028, 127, 
5.266418, 127, 
5.278808, 127, 
5.291198, 255, 
5.303588, 255, 
5.315979, 255, 
5.328369, 255, 
5.340759, 255, 
5.353149, 255, 
5.365539, 255, 
5.390319, 255, 
5.402709, 255, 
5.415100, 255, 
5.427490, 127, 
5.439880, 255, 
5.452270, 63, 
5.464660, 127, 
5.477050, 127, 
5.489440, 255, 
5.501831, 255, 
5.514221, 127, 
5.526611, 127, 
5.539001, 255, 
5.551391, 255, 
5.563781, 255, 
5.576171, 127, 
5.588562, 255, 
5.600952, 255, 
5.613342, 127, 
5.625732, 127, 
5.638122, 127, 
5.650512, 255, 
5.662902, 63, 
5.675292, 63, 
5.687683, 255, 
5.700073, 118, 
5.712463, 255, 
5.724853, 63, 
5.737243, 119, 
5.749633, 0, 
5.761932, 255, 
5.774322, 0, 
5.786621, 127, 
5.799011, 127, 
5.811401, 63, 
5.823791, 16, 
5.836181, 255, 
5.848571, 255, 
5.860961, 255, 
5.873352, 255, 
5.885742, 255, 
5.898132, 127, 
5.910522, 127, 
5.922912, 127, 
5.935302, 255, 
5.947692, 127, 
5.960083, 255, 
